timestamp,open,high,low,close,volume
2026-02-27 11:00:00+00:00,66604.9,66778.68,65960.01,66126.99,1399.59256
2026-02-27 12:00:00+00:00,66126.99,66217.42,65734.71,65928.01,1855.03329
2026-02-27 13:00:00+00:00,65928.01,66344.9,65649.34,66270.55,1278.55317
2026-02-27 14:00:00+00:00,66270.55,66334.87,65686.64,65887.59,1404.23206
2026-02-27 15:00:00+00:00,65887.59,66311.11,65845.18,66095.4,957.11978
2026-02-27 16:00:00+00:00,66095.4,66121.03,65462.93,65475.21,1135.56487
2026-02-27 17:00:00+00:00,65475.21,65765.06,65113.72,65703.19,1265.39709
2026-02-27 18:00:00+00:00,65703.18,65788.07,65228.33,65314.76,623.00837
2026-02-27 19:00:00+00:00,65314.76,65457.35,65172.6,65392.18,851.95591
2026-02-27 20:00:00+00:00,65392.18,65666.66,65392.18,65594.67,444.86468
2026-02-27 21:00:00+00:00,65594.67,65749.94,65400.0,65527.59,282.6564
2026-02-27 22:00:00+00:00,65527.59,65673.33,64914.46,65637.99,713.5349
2026-02-27 23:00:00+00:00,65638.0,65953.2,65551.67,65872.1,326.8612
2026-02-28 00:00:00+00:00,65872.09,66025.52,65721.13,65942.0,334.42449
2026-02-28 01:00:00+00:00,65942.01,65971.93,65743.71,65770.36,267.81274
2026-02-28 02:00:00+00:00,65770.36,66018.85,65761.94,65961.13,204.09288
2026-02-28 03:00:00+00:00,65961.13,65982.34,65745.39,65797.42,239.41397
2026-02-28 04:00:00+00:00,65797.42,65818.44,65488.0,65663.2,311.53682
2026-02-28 05:00:00+00:00,65663.21,65729.65,65500.0,65591.03,300.20395
2026-02-28 06:00:00+00:00,65591.03,65591.04,63030.0,63216.01,3175.19445
2026-02-28 07:00:00+00:00,63216.01,64327.22,63038.0,63826.0,2127.97927
2026-02-28 08:00:00+00:00,63825.99,63877.09,63411.39,63473.28,1118.13838
2026-02-28 09:00:00+00:00,63473.27,64005.35,63372.1,63658.54,737.11739
2026-02-28 10:00:00+00:00,63658.55,64053.93,63452.64,64010.39,1633.42712
2026-02-28 11:00:00+00:00,64010.38,64307.44,63791.25,63844.2,1245.63976
2026-02-28 12:00:00+00:00,63844.2,64082.66,63827.2,64017.19,474.84169
2026-02-28 13:00:00+00:00,64017.18,65216.97,63888.89,65106.44,1748.13055
2026-02-28 14:00:00+00:00,65106.45,65360.51,64278.5,64435.61,1331.97244
2026-02-28 15:00:00+00:00,64435.62,65020.75,64200.0,64841.18,731.53889
2026-02-28 16:00:00+00:00,64841.17,65206.25,64681.81,65094.3,500.23365
2026-02-28 17:00:00+00:00,65094.29,65555.0,64828.03,65442.62,595.58409
2026-02-28 18:00:00+00:00,65442.61,66157.61,65185.7,65911.84,830.58148
2026-02-28 19:00:00+00:00,65911.83,66666.65,65602.65,66362.01,1072.73124
2026-02-28 20:00:00+00:00,66362.01,67151.68,66190.61,66959.62,840.13263
2026-02-28 21:00:00+00:00,66959.63,67055.56,66368.42,66723.22,934.75984
2026-02-28 22:00:00+00:00,66723.23,67760.0,66608.82,67103.64,1310.09118
2026-02-28 23:00:00+00:00,67103.63,67210.0,66733.73,66973.26,483.13759
2026-03-01 00:00:00+00:00,66973.26,67121.8,66620.5,66791.29,560.35194
2026-03-01 01:00:00+00:00,66791.29,67703.32,66042.72,67339.36,1630.19028
2026-03-01 02:00:00+00:00,67339.36,68199.99,67339.36,67620.65,1861.8227
2026-03-01 03:00:00+00:00,67620.65,67813.33,67400.0,67502.16,637.99716
2026-03-01 04:00:00+00:00,67502.16,67612.14,67079.36,67346.5,631.60541
2026-03-01 05:00:00+00:00,67346.5,67574.65,67200.0,67292.09,437.89406
2026-03-01 06:00:00+00:00,67292.08,67345.8,66749.35,66926.68,1159.96329
2026-03-01 07:00:00+00:00,66926.69,67235.72,66784.58,67141.39,937.93278
2026-03-01 08:00:00+00:00,67141.4,67292.3,66389.33,66560.14,1475.81311
2026-03-01 09:00:00+00:00,66560.14,66771.1,66246.95,66410.08,815.73368
2026-03-01 10:00:00+00:00,66410.09,66731.47,66215.71,66467.06,621.17753
2026-03-01 11:00:00+00:00,66467.07,66661.61,66372.27,66468.03,338.19615
2026-03-01 12:00:00+00:00,66468.04,66550.0,66241.97,66296.48,388.82935
2026-03-01 13:00:00+00:00,66296.48,67360.57,66132.27,66934.79,1311.02111
2026-03-01 14:00:00+00:00,66934.8,67320.19,66752.58,66847.8,911.62631
2026-03-01 15:00:00+00:00,66847.8,67243.69,66828.6,66842.42,1028.55576
